Region,Country,Year,Income,BirthRate,Population
Africa,Seychelles,2012,11689.289616434,0.019,88303
Africa,Sao Tome and Principe,2012,1399.953481696,0.035,188098
Africa,Comoros,2012,830.517461251,0.036,717503
Africa,Equatorial Guinea,2012,22391.461785749,0.036,736296
Africa,Djibouti,2012,1574.628968466,0.028,859652
Africa,Swaziland,2012,3289.714469307,0.03,1230985
Africa,Mauritius,2012,8861.799618485,0.011,1291167
Africa,Gabon,2012,10929.879637161,0.032,1632572
Africa,Guinea-Bissau,2012,494.314377978,0.038,1663558
Africa,Gambia,2012,510.326229257,0.043,1791225
Africa,Botswana,2012,7254.562606604,0.024,2003910
Africa,Lesotho,2012,1134.850210451,0.028,2051545
Africa,Namibia,2012,5930.524946302,0.026,2259393
Africa,Mauritania,2012,1042.822531882,0.034,3796141
Africa,Liberia,2012,413.758572797,0.036,4190435
Africa,Congo (Brazzaville),2012,3153.739525313,0.038,4337051
Africa,Central African Republic,2012,479.470983771,0.034,4525209
Africa,Sierra Leone,2012,633.478095922,0.037,5978727
Africa,Eritrea,2012,504.323408453,0.037,6130922
Africa,Libya,2012,13302.790848278,0.021,6154623
Africa,Togo,2012,589.462089007,0.037,6642928
Africa,Burundi,2012,251.014517793,0.045,9849569
Africa,Benin,2012,750.513124257,0.037,10050702
Africa,Tunisia,2012,4197.493999629,0.019,10777500
Africa,South Sudan,2012,974.392036117,0.037,10837527
Africa,Guinea,2012,493.489952602,0.037,11451273
Africa,Rwanda,2012,622.578354084,0.036,11457801
Africa,Chad,2012,1035.257946004,0.046,12448175
Africa,Zimbabwe,2012,908.782323230,0.032,13724317
Africa,Senegal,2012,1023.288571903,0.038,13726021
Africa,Zambia,2012,1463.323584793,0.043,14075099
Africa,Mali,2012,696.182312914,0.047,14853572
Africa,Malawi,2012,266.588965581,0.04,15906483
Africa,Burkina Faso,2012,651.653315120,0.041,16460141
Africa,Niger,2012,394.775830880,0.05,17157042
Africa,Cote d'Ivoire,2012,1243.986074623,0.037,19839750
Africa,Angola,2012,5523.395783728,0.045,20820525
Africa,Cameroon,2012,1219.957974723,0.038,21699631
Africa,Madagascar,2012,443.201847957,0.035,22293914
Africa,Mozambique,2012,570.417489588,0.039,25203395
Africa,Ghana,2012,1645.515161988,0.031,25366462
Africa,Morocco,2012,2951.359136332,0.023,32521143
Africa,Uganda,2012,551.155975123,0.044,36345860
Africa,Sudan,2012,1694.554938495,0.034,37195349
Africa,Algeria,2012,5301.220411102,0.025,38481705
Africa,Kenya,2012,932.518229189,0.036,43178141
Africa,Tanzania,2012,591.184492796,0.04,47783107
Africa,South Africa,2012,7307.516057645,0.021,52274945
Africa,Congo (Kinshasa),2012,417.818378219,0.043,65705093
Africa,Egypt,2012,3258.100772041,0.024,80721874
Africa,Ethiopia,2012,466.649438488,0.034,91728849
Africa,Nigeria,2012,2742.342266870,0.042,168833776
Asia,Maldives,2012,6243.844747401,0.022,338442
Asia,Brunei,2012,41126.612842581,0.016,412238
Asia,Macao SAR,2012,77196.138790157,0.01,556783
Asia,Bhutan,2012,2508.900461297,0.02,741822
Asia,Timor-Leste,2012,1179.329444592,0.036,1148958
Asia,Mongolia,2012,3691.052262412,0.023,2796484
Asia,Armenia,2012,3353.973125017,0.014,2969081
Asia,Georgia,2012,3528.733735943,0.014,4490700
Asia,Turkmenistan,2012,6797.734306914,0.022,5172931
Asia,Singapore,2012,54024.546344402,0.01,5312400
Asia,Kyrgyzstan,2012,1177.973596626,0.028,5607200
Asia,Laos,2012,1412.452243039,0.027,6645827
Asia,Hong Kong SAR,2012,36759.567271406,0.013,7154600
Asia,Tajikistan,2012,953.060222575,0.033,8008990
Asia,Azerbaijan,2012,7393.771877014,0.019,9295784
Asia,Cambodia,2012,945.494646358,0.026,14864646
Asia,Kazakhstan,2012,12149.058224659,0.023,16791425
